calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,63.32,34.7,111.85,105.88,77.47,126.66,4.4,-0.8,9.5,86.41,78.0,93.5,-6.8,15.2
2,2,Feb,51.44,17.15,92.05,148.31,118.73,178.59,5.26,0.2,9.6,80.68,69.1,90.0,-8.6,18.8
3,3,Mar,56.49,22.75,98.4,231.58,188.02,262.16,7.81,3.8,11.7,76.29,66.0,86.0,-10.5,23.8
4,4,Apr,46.44,19.1,78.7,300.86,260.58,333.77,10.92,6.6,15.5,70.48,58.0,82.0,-2.5,29.0
5,5,May,68.92,32.5,112.65,334.04,295.22,361.87,14.3,10.65,18.6,70.77,59.0,84.0,1.9,30.6
6,6,Jun,69.17,47.65,94.45,343.11,291.8,386.62,18.32,14.5,22.9,69.46,56.0,82.1,6.0,36.0
7,7,Jul,60.2,21.05,114.55,361.02,323.29,412.19,20.27,16.6,24.3,65.4,52.0,79.0,8.5,40.7
8,8,Aug,59.88,13.15,112.3,312.89,294.81,361.65,19.87,16.25,23.75,67.49,54.0,80.0,7.6,37.6
9,9,Sep,53.08,23.0,79.88,269.62,239.83,295.08,16.83,13.0,20.71,72.43,59.0,83.0,4.2,34.0
10,10,Oct,67.52,31.58,98.06,201.18,160.37,231.13,13.02,9.24,16.96,80.59,71.0,89.0,-0.8,27.5
11,11,Nov,61.27,27.46,95.44,134.66,107.48,152.83,8.26,4.0,12.31,86.08,79.0,93.0,-4.0,20.8
12,12,Dec,77.63,41.3,110.04,108.0,68.67,144.76,5.64,0.1,10.4,87.77,80.0,94.0,-7.9,16.0
