month,day,avg_accumulated_precipitation,years_sampled
1,1,0.63,16
1,2,1.25,16
1,3,2.02,16
1,4,5.35,16
1,5,6.57,16
1,6,8.66,16
1,7,10.19,16
1,8,12.36,16
1,9,15.22,16
1,10,15.73,16
1,11,16.43,16
1,12,17.12,16
1,13,18.12,16
1,14,18.59,16
1,15,19.89,16
1,16,20.82,16
1,17,22.42,16
1,18,24.18,16
1,19,28.09,16
1,20,28.93,16
1,21,30.01,16
1,22,31.65,16
1,23,32.13,16
1,24,32.49,16
1,25,33.64,16
1,26,34.12,16
1,27,36.11,16
1,28,37.1,16
1,29,38.46,16
1,30,39.09,16
1,31,39.84,16
2,1,40.52,16
2,2,41.14,16
2,3,41.51,16
2,4,42.72,16
2,5,44.41,16
2,6,45.68,16
2,7,46.4,16
2,8,47.74,16
2,9,50.32,16
2,10,50.99,16
2,11,52.28,16
2,12,53.35,16
2,13,54.33,16
2,14,54.59,16
2,15,56.47,16
2,16,58.21,16
2,17,58.88,16
2,18,59.34,16
2,19,60.88,16
2,20,61.01,16
2,21,62.08,16
2,22,63.21,16
2,23,63.53,16
2,24,63.91,16
2,25,64.48,16
2,26,65.32,16
2,27,66.71,16
2,28,68.87,16
2,29,68.88,4
3,1,71.3,16
3,2,73.71,16
3,3,76.94,16
3,4,79.59,16
3,5,82.2,16
3,6,85.37,16
3,7,88.26,16
3,8,90.96,16
3,9,92.94,16
3,10,94.99,16
3,11,96.85,16
3,12,97.75,16
3,13,99.19,16
3,14,101.97,16
3,15,103.22,16
3,16,105.06,16
3,17,106.92,16
3,18,109.26,16
3,19,111.37,16
3,20,112.52,16
3,21,115.66,16
3,22,119.24,16
3,23,121.73,16
3,24,123.87,16
3,25,125.76,16
3,26,127.29,16
3,27,128.51,16
3,28,128.94,16
3,29,131.79,16
3,30,133.29,16
3,31,136.97,16
4,1,138.0,16
4,2,139.72,16
4,3,143.61,16
4,4,146.6,16
4,5,147.56,16
4,6,148.35,16
4,7,149.47,16
4,8,149.99,16
4,9,151.89,16
4,10,154.84,16
4,11,156.77,16
4,12,158.86,16
4,13,160.46,16
4,14,162.52,16
4,15,165.02,16
4,16,166.42,16
4,17,167.58,16
4,18,169.95,16
4,19,172.15,16
4,20,176.11,16
4,21,178.33,16
4,22,182.86,16
4,23,183.42,16
